Gene,Prob,ID,Description
DAF-11,0.994,WBGene00000907,Receptor-type guanylate cyclase daf-11
RPS-27,0.986,WBGene00004496,40S ribosomal protein S27
RPL-37,0.985,WBGene00004451,60S ribosomal protein L37
W01D2.1,0.985,WBGene00012179,Ribosomal protein L37
RPL-43,0.985,WBGene00004456,60S ribosomal protein L37a
MRPL-18,0.985,WBGene00017044,39S ribosomal protein L18, mitochondrial
MRPL-19,0.985,WBGene00022470,Probable 39S ribosomal protein L19, mitochondrial
MRPL-23,0.985,WBGene00020348,Probable 39S ribosomal protein L23, mitochondrial
MRPL-49,0.985,WBGene00011247,Probable 39S ribosomal protein L49, mitochondrial
MRPS-14,0.985,WBGene00011334,Probable 40S ribosomal protein S14, mitochondrial
