tpr fpr fold alg
0 0 train kknn
1 0 train kknn
1 1 train kknn
0 0 test kknn
0.214285714285714 0 test kknn
1 1 test kknn
0 0 train xgbTree
0.03125 0 train xgbTree
0.0625 0 train xgbTree
0.09375 0 train xgbTree
0.125 0 train xgbTree
0.15625 0 train xgbTree
0.1875 0 train xgbTree
0.21875 0 train xgbTree
0.25 0 train xgbTree
0.28125 0 train xgbTree
0.3125 0 train xgbTree
0.34375 0 train xgbTree
0.375 0 train xgbTree
0.40625 0 train xgbTree
0.4375 0 train xgbTree
0.46875 0 train xgbTree
0.5 0 train xgbTree
0.53125 0 train xgbTree
0.5625 0 train xgbTree
0.5625 0.00409836065573771 train xgbTree
0.59375 0.00409836065573771 train xgbTree
0.625 0.00409836065573771 train xgbTree
0.65625 0.00409836065573771 train xgbTree
0.6875 0.00409836065573771 train xgbTree
0.6875 0.00819672131147541 train xgbTree
0.71875 0.00819672131147541 train xgbTree
0.71875 0.0122950819672131 train xgbTree
0.71875 0.0163934426229508 train xgbTree
0.71875 0.0204918032786885 train xgbTree
0.75 0.0204918032786885 train xgbTree
0.75 0.0245901639344262 train xgbTree
0.75 0.0286885245901639 train xgbTree
0.75 0.0327868852459016 train xgbTree
0.8125 0.0368852459016393 train xgbTree
0.8125 0.040983606557377 train xgbTree
0.8125 0.0450819672131148 train xgbTree
0.84375 0.0450819672131148 train xgbTree
0.84375 0.0491803278688525 train xgbTree
0.84375 0.0532786885245902 train xgbTree
0.875 0.0573770491803279 train xgbTree
0.90625 0.0573770491803279 train xgbTree
0.90625 0.0614754098360656 train xgbTree
0.90625 0.0655737704918033 train xgbTree
0.90625 0.069672131147541 train xgbTree
0.90625 0.0737704918032787 train xgbTree
0.9375 0.0819672131147541 train xgbTree
0.96875 0.0819672131147541 train xgbTree
0.96875 0.0860655737704918 train xgbTree
0.96875 0.0901639344262295 train xgbTree
0.96875 0.0942622950819672 train xgbTree
0.96875 0.0983606557377049 train xgbTree
0.96875 0.102459016393443 train xgbTree
0.96875 0.10655737704918 train xgbTree
0.96875 0.110655737704918 train xgbTree
0.96875 0.114754098360656 train xgbTree
0.96875 0.118852459016393 train xgbTree
0.96875 0.122950819672131 train xgbTree
0.96875 0.127049180327869 train xgbTree
0.96875 0.131147540983607 train xgbTree
0.96875 0.135245901639344 train xgbTree
0.96875 0.139344262295082 train xgbTree
0.96875 0.14344262295082 train xgbTree
0.96875 0.147540983606557 train xgbTree
0.96875 0.151639344262295 train xgbTree
0.96875 0.155737704918033 train xgbTree
0.96875 0.159836065573771 train xgbTree
0.96875 0.163934426229508 train xgbTree
0.96875 0.168032786885246 train xgbTree
0.96875 0.172131147540984 train xgbTree
0.96875 0.180327868852459 train xgbTree
0.96875 0.184426229508197 train xgbTree
0.96875 0.188524590163934 train xgbTree
0.96875 0.192622950819672 train xgbTree
0.96875 0.19672131147541 train xgbTree
0.96875 0.200819672131148 train xgbTree
1 0.217213114754098 train xgbTree
1 0.221311475409836 train xgbTree
1 0.225409836065574 train xgbTree
1 0.229508196721311 train xgbTree
1 0.233606557377049 train xgbTree
1 0.237704918032787 train xgbTree
1 0.241803278688525 train xgbTree
1 0.245901639344262 train xgbTree
1 0.25 train xgbTree
1 0.254098360655738 train xgbTree
1 0.258196721311475 train xgbTree
1 0.262295081967213 train xgbTree
1 0.266393442622951 train xgbTree
1 0.270491803278689 train xgbTree
1 0.274590163934426 train xgbTree
1 0.290983606557377 train xgbTree
1 0.295081967213115 train xgbTree
1 0.299180327868852 train xgbTree
1 0.30327868852459 train xgbTree
1 0.307377049180328 train xgbTree
1 0.311475409836066 train xgbTree
1 0.319672131147541 train xgbTree
1 0.323770491803279 train xgbTree
1 0.327868852459016 train xgbTree
1 0.331967213114754 train xgbTree
1 0.340163934426229 train xgbTree
1 0.352459016393443 train xgbTree
1 0.35655737704918 train xgbTree
1 0.360655737704918 train xgbTree
1 0.364754098360656 train xgbTree
1 0.368852459016393 train xgbTree
1 0.372950819672131 train xgbTree
1 0.377049180327869 train xgbTree
1 0.381147540983607 train xgbTree
1 0.385245901639344 train xgbTree
1 0.389344262295082 train xgbTree
1 0.397540983606557 train xgbTree
1 0.401639344262295 train xgbTree
1 0.405737704918033 train xgbTree
1 0.409836065573771 train xgbTree
1 0.413934426229508 train xgbTree
1 0.422131147540984 train xgbTree
1 0.430327868852459 train xgbTree
1 0.434426229508197 train xgbTree
1 0.454918032786885 train xgbTree
1 0.459016393442623 train xgbTree
1 0.463114754098361 train xgbTree
1 0.475409836065574 train xgbTree
1 0.479508196721311 train xgbTree
1 0.483606557377049 train xgbTree
1 0.5 train xgbTree
1 0.532786885245902 train xgbTree
1 0.540983606557377 train xgbTree
1 0.549180327868853 train xgbTree
1 0.55327868852459 train xgbTree
1 0.557377049180328 train xgbTree
1 0.561475409836066 train xgbTree
1 0.565573770491803 train xgbTree
1 0.569672131147541 train xgbTree
1 0.573770491803279 train xgbTree
1 0.577868852459016 train xgbTree
1 0.581967213114754 train xgbTree
1 0.590163934426229 train xgbTree
1 0.594262295081967 train xgbTree
1 0.598360655737705 train xgbTree
1 0.602459016393443 train xgbTree
1 0.60655737704918 train xgbTree
1 0.610655737704918 train xgbTree
1 0.647540983606557 train xgbTree
1 0.655737704918033 train xgbTree
1 0.659836065573771 train xgbTree
1 0.663934426229508 train xgbTree
1 0.672131147540984 train xgbTree
1 0.680327868852459 train xgbTree
1 0.684426229508197 train xgbTree
1 0.688524590163934 train xgbTree
1 0.692622950819672 train xgbTree
1 0.69672131147541 train xgbTree
1 0.700819672131147 train xgbTree
1 0.704918032786885 train xgbTree
1 0.774590163934426 train xgbTree
1 0.778688524590164 train xgbTree
1 0.782786885245902 train xgbTree
1 0.786885245901639 train xgbTree
1 0.790983606557377 train xgbTree
1 0.795081967213115 train xgbTree
1 0.807377049180328 train xgbTree
1 0.811475409836066 train xgbTree
1 0.815573770491803 train xgbTree
1 0.819672131147541 train xgbTree
1 0.823770491803279 train xgbTree
1 0.840163934426229 train xgbTree
1 0.844262295081967 train xgbTree
1 0.848360655737705 train xgbTree
1 0.852459016393443 train xgbTree
1 0.85655737704918 train xgbTree
1 0.860655737704918 train xgbTree
1 0.864754098360656 train xgbTree
1 0.868852459016393 train xgbTree
1 0.872950819672131 train xgbTree
1 0.877049180327869 train xgbTree
1 0.881147540983607 train xgbTree
1 0.885245901639344 train xgbTree
1 0.889344262295082 train xgbTree
1 0.89344262295082 train xgbTree
1 0.897540983606557 train xgbTree
1 0.901639344262295 train xgbTree
1 0.909836065573771 train xgbTree
1 0.918032786885246 train xgbTree
1 0.922131147540984 train xgbTree
1 0.926229508196721 train xgbTree
1 0.930327868852459 train xgbTree
1 0.934426229508197 train xgbTree
1 0.938524590163934 train xgbTree
1 0.942622950819672 train xgbTree
1 0.94672131147541 train xgbTree
1 0.950819672131147 train xgbTree
1 0.979508196721312 train xgbTree
1 0.983606557377049 train xgbTree
1 0.987704918032787 train xgbTree
1 0.991803278688525 train xgbTree
1 0.995901639344262 train xgbTree
1 1 train xgbTree
0 0 test xgbTree
0.0714285714285714 0 test xgbTree
0.142857142857143 0.0128205128205128 test xgbTree
0.214285714285714 0.0128205128205128 test xgbTree
0.214285714285714 0.0256410256410256 test xgbTree
0.285714285714286 0.0256410256410256 test xgbTree
0.357142857142857 0.0256410256410256 test xgbTree
0.357142857142857 0.0384615384615385 test xgbTree
0.428571428571429 0.0384615384615385 test xgbTree
0.5 0.0384615384615385 test xgbTree
0.5 0.0512820512820513 test xgbTree
0.571428571428571 0.0641025641025641 test xgbTree
0.571428571428571 0.102564102564103 test xgbTree
0.571428571428571 0.115384615384615 test xgbTree
0.571428571428571 0.128205128205128 test xgbTree
0.571428571428571 0.141025641025641 test xgbTree
0.571428571428571 0.153846153846154 test xgbTree
0.571428571428571 0.166666666666667 test xgbTree
0.642857142857143 0.166666666666667 test xgbTree
0.642857142857143 0.192307692307692 test xgbTree
0.642857142857143 0.205128205128205 test xgbTree
0.642857142857143 0.217948717948718 test xgbTree
0.642857142857143 0.230769230769231 test xgbTree
0.642857142857143 0.243589743589744 test xgbTree
0.642857142857143 0.256410256410256 test xgbTree
0.642857142857143 0.282051282051282 test xgbTree
0.642857142857143 0.294871794871795 test xgbTree
0.714285714285714 0.294871794871795 test xgbTree
0.785714285714286 0.294871794871795 test xgbTree
0.857142857142857 0.294871794871795 test xgbTree
0.857142857142857 0.307692307692308 test xgbTree
0.857142857142857 0.320512820512821 test xgbTree
0.857142857142857 0.333333333333333 test xgbTree
0.857142857142857 0.346153846153846 test xgbTree
0.857142857142857 0.358974358974359 test xgbTree
0.857142857142857 0.371794871794872 test xgbTree
0.857142857142857 0.384615384615385 test xgbTree
0.857142857142857 0.397435897435897 test xgbTree
0.857142857142857 0.435897435897436 test xgbTree
0.857142857142857 0.448717948717949 test xgbTree
0.857142857142857 0.461538461538462 test xgbTree
0.857142857142857 0.5 test xgbTree
0.928571428571429 0.5 test xgbTree
0.928571428571429 0.512820512820513 test xgbTree
0.928571428571429 0.525641025641026 test xgbTree
0.928571428571429 0.538461538461538 test xgbTree
0.928571428571429 0.551282051282051 test xgbTree
0.928571428571429 0.564102564102564 test xgbTree
0.928571428571429 0.576923076923077 test xgbTree
0.928571428571429 0.58974358974359 test xgbTree
0.928571428571429 0.602564102564103 test xgbTree
0.928571428571429 0.615384615384615 test xgbTree
0.928571428571429 0.628205128205128 test xgbTree
0.928571428571429 0.641025641025641 test xgbTree
